Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
1983.535.32,326785,Pin,Pin,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326785
67.246.35,325916,Plate,Plate,Nabataean,Nabataean,ca. 1st century A.D.,1,100,Jordan,http://www.metmuseum.org/art/collection/search/325916
29.131.3q,253026,"Chariot fragments, plaque with socket","Chariot fragments, plaque with socket",Etruscan,Archaic,ca. 500--480 B.C.,-500,-480,Italy,http://www.metmuseum.org/art/collection/search/253026
55.162.2,324481,Relief,Plaque in the form of a reclining man,Parthian,Parthian,ca. 1st century B.C.--A.D. 1st century,-1,-1,Iran or Mesopotamia,http://www.metmuseum.org/art/collection/search/324481
81.10.95,245252,Trulla,Glass trulla (pan),Roman,Imperial,1st--4th century A.D.,1,399,Italy,http://www.metmuseum.org/art/collection/search/245252
X.304.2,328750,Stamp seal,Stamp seal,Babylonian,Neo-Babylonian,ca. 6th--5th century B.C.,-600,-400,Mesopotamia,http://www.metmuseum.org/art/collection/search/328750
86.11.6,321630,Stamp seal,Scaraboid seal with peaked back,Babylonian,Neo-Babylonian,ca. 6th--4th century B.C.,-600,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/321630
74.51.875,240464,Jug,Jug,Cypriot,Iron Age,ca. 1050--900 B.C.,-1050,-900,Cyprus,http://www.metmuseum.org/art/collection/search/240464
46.91,254550,Lekythos,Lekythos,"Greek, Attic",Classical,2nd quarter of 5th century B.C.,-475,-450,Greece,http://www.metmuseum.org/art/collection/search/254550
41.162.178,254349,Neck-amphora,Terracotta neck-amphora (jar) with double handles,"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/254349
41.160.542,323930,Stamp seal,Scaraboid seal with slightly peaked back,Babylonian,Neo-Babylonian,ca. 6th--4th century B.C.,-600,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/323930
81.6.34,244905,Intaglio,Carnelian  ring stone,Italic,Hellenistic,3rd--2nd century B.C.,-299,-100,Italy,http://www.metmuseum.org/art/collection/search/244905
62.193a--d,255146,Kylix fragments,Kylix fragments,"Greek, Attic",Archaic,ca. 510 B.C.,-510,-510,Greece,http://www.metmuseum.org/art/collection/search/255146
15.130.9,249045,Bead,Glass mosaic bead,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/249045
"1994.600.1, .2",256204,"Bust of a woman, pair",Two terracotta busts,"Greek, Sicilian",Late Classical,4th century B.C.,-399,-300,Sicily,http://www.metmuseum.org/art/collection/search/256204
26.31.526,252445,Vase fragment,Vase fragment,Minoan,Late Minoan III,ca. 1400--1200 B.C.,-1400,-1200,Crete,http://www.metmuseum.org/art/collection/search/252445
81.10.246,245398,Jug,Glass jug,Roman,Late Imperial,late 3rd--early 4th century A.D.,275,325,Italy,http://www.metmuseum.org/art/collection/search/245398
62.70.18,325424,Vessel,Vessel,Sumerian,Early Dynastic II,ca. 2700--2600 B.C.,-2700,-2600,Mesopotamia,http://www.metmuseum.org/art/collection/search/325424
1989.281.75,255952,Statuette of a lion,Bronze statuette of a lion,Etruscan,Archaic,ca. 550--500 B.C.,-550,-500,Italy,http://www.metmuseum.org/art/collection/search/255952
41.160.557,253776,Ring,Silver ring,Greek,Classical,ca. 4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/253776
15.167.1,249059,Grave stele fragment,Fragmentary marble grave stele,"Greek, Attic",Archaic,end of the 6th century B.C.,-530,-500,Greece,http://www.metmuseum.org/art/collection/search/249059
6.1058,247476,Statuette of Poseidon,Bronze statuette of Neptune,Roman,Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/247476
81.10.282,245434,Beaker,Glass beaker,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/245434
86.11.228,321806,Cuneiform tablet,"Cuneiform tablet: account of barley for bird-fodder, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 576 B.C.,-576,-576,Mesopotamia,http://www.metmuseum.org/art/collection/search/321806
1995.497,256227,Pyxis,Terracotta box of a pyxis,Cycladic,Early Cycladic I,ca. 3200--2800 B.C.,-3200,-2800,Greece,http://www.metmuseum.org/art/collection/search/256227
74.57.5,244786,Kylix,Kylix,Cypriot,Iron Age,ca. 750--500 B.C.,-799,-500,Cyprus,http://www.metmuseum.org/art/collection/search/244786
19.192.45,250778,Hydria,Hydria,"Greek, South Italian, Lucanian",Late Classical,ca. 400--375 B.C.,-400,-375,Italy,http://www.metmuseum.org/art/collection/search/250778
"96.9.50a, b",246138,Canopic urn,Terracotta canopic urn,"Etruscan, Chiusi or environs",Archaic,6th century B.C.,-6,-6,Italy,http://www.metmuseum.org/art/collection/search/246138
86.11.488,321861,Cuneiform tablet,"Cuneiform tablet: fragment of a promissory note for dates, Esagilaya archive",Babylonian,Neo-Babylonian,ca. 569 B.C.,-569,-569,Mesopotamia,http://www.metmuseum.org/art/collection/search/321861
21.88.82,251106,Column-krater,Terracotta column-krater (bowl for mixing wine and water),"Greek, Attic",Classical,ca. 480 B.C.,-480,-480,Greece,http://www.metmuseum.org/art/collection/search/251106
49.101.13,254640,Head of a man,Marble head of a bearded man,Greek,Late Classical,late 4th century B.C.,-330,-300,Greece,http://www.metmuseum.org/art/collection/search/254640
30.119.76,253281,Vase fragment,Vase fragment,"Neolithic, Hagiorgetika","Neolithic, first period",ca. 4000--3000 B.C.,-3999,-3000,Greece,http://www.metmuseum.org/art/collection/search/253281
1983.535.34,326787,Mace ,Mace head,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326787
41.160.407,253641,Mirror with two warriors,Bronze mirror,Etruscan,Hellenistic,ca. 325--300 B.C.,-325,-300,Italy,http://www.metmuseum.org/art/collection/search/253641
74.51.2462,242015,Statue of a priest,Limestone votary of a bearded male with a wreath,Cypriot,Classical,2nd half of 5th century B.C.,-450,-400,Cyprus,http://www.metmuseum.org/art/collection/search/242015
1992.267.9,257799,Head of a woman,Pendant: head of a woman,Italic,Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/257799
26.60.62,252526,Handle with head of Acheloos,Bronze oinochoe (jug) handle with satyrs flanking a head of Acheloos,Etruscan,Archaic,late 6th century B.C.,-525,-500,Italy,http://www.metmuseum.org/art/collection/search/252526
69.232,255294,"Kylix, stemless",Terracotta stemless kylix (drinking cup),"Greek, South Italian, Lucanian",Late Classical,ca. 410--380 B.C.,-410,-380,Italy,http://www.metmuseum.org/art/collection/search/255294
17.194.121,249366,Flask,Glass flask,Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/249366
96.9.208,246253,"Cup, miniature","Cup, miniature",Etruscan,Hellenistic,3rd--2nd century B.C.,-300,-100,Italy,http://www.metmuseum.org/art/collection/search/246253
74.51.3378,242811,Earring or spiral,Earring or spiral,Cypriot,Classical,5th century B.C.,-500,-401,Cyprus,http://www.metmuseum.org/art/collection/search/242811
17.194.1474,250141,Head of a man,Glass portrait head,Roman,"Late Imperial, Constantinian",1st half of 4th century A.D.,300,350,Italy,http://www.metmuseum.org/art/collection/search/250141
56.171.19,254877,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 520 B.C.,-520,-520,Greece,http://www.metmuseum.org/art/collection/search/254877
36.30.331,323510,Coin,Coin,Parthian,Parthian,ca. 1st century B.C.--A.D. 3rd century,-100,300,Iran,http://www.metmuseum.org/art/collection/search/323510
1971.31a--f,326038,Belt,Belt fragments with deities on bulls and lions,Urartian,Iron Age III,ca. 7th century B.C.,-700,-600,Urartu,http://www.metmuseum.org/art/collection/search/326038
74.51.5282,244161,Dagger blade,Copper alloy spearhead,Cypriot,Early Bronze Age,ca. 2500--2000 B.C.,-2500,-2000,Cyprus,http://www.metmuseum.org/art/collection/search/244161
1996.248,256259,Pectoral,Silver-gilt and iron pectoral,Greek,Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/256259
91.1.1778,257165,"Fragment, network",Glass network mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257165
1991.171.11,255999,Fibula,Fibula,"Italic, Villanovan",Geometric,9th--8th century B.C.,-899,-700,Italy,http://www.metmuseum.org/art/collection/search/255999
91.1.2030,257369,"Fragment, mosaic carinated bowl",Glass mosaic carinated bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257369
1987.11.7,255886,Scarab,Carnelian scarab,Greek,Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/255886
26.199.5,252602,Tile fragment,Terracotta architectural tile,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252602
1972.118.169,255480,"Roundel, medallion with head of Hermes","Roundel, medallion with head of Hermes",Greek,Hellenistic,,-323,31,Greece,http://www.metmuseum.org/art/collection/search/255480
74.51.2263,241816,Vase in the form of a sleeping black-African boy,Terracotta vase in the form of a sleeping African (known as Ethiopian) boy,Cypriot,Hellenistic,ca. 3rd--2nd century B.C.,-299,-100,Cyprus,http://www.metmuseum.org/art/collection/search/241816
53.5.29,254754,Statuette of a female figure,Terracotta statuette of a female figure,"Greek, Cretan",Archaic,7th century B.C.,-699,-600,Greece,http://www.metmuseum.org/art/collection/search/254754
X.21.34,256613,Hydria,Hydria,"Greek, Attic",Classical,mid-5th century B.C.,-475,-425,Greece,http://www.metmuseum.org/art/collection/search/256613
74.51.4084,243496,Ring,Gold ring engraved with a bird,"Roman, Cypriot",Imperial,2nd--3rd century A.D.,100,299,Cyprus,http://www.metmuseum.org/art/collection/search/243496
26.199.304,252867,Bell-krater fragment,Bell-krater fragment,"Greek, Attic",Archaic,late 6th century B.C.,-530,-500,Greece,http://www.metmuseum.org/art/collection/search/252867
19.192.81.43,250851,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",Late Classical,ca. 330--310 B.C.,-330,-300,Italy,http://www.metmuseum.org/art/collection/search/250851
81.10.235,245387,"Bottle, double head-shaped",Glass double head-shaped bottle,"Roman, Syrian",Mid Imperial,2nd century A.D.,100,199,Syria,http://www.metmuseum.org/art/collection/search/245387
74.51.1096,240683,Jug,Jug,Cypriot,Middle Cypriot,1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240683
2010.226,258496,Ring,Gold box ring surmounted by a scarab,Greek,Classical,ca.330--310 B.C.,-350,-300,Greece,http://www.metmuseum.org/art/collection/search/258496
74.51.5055,243935,Tripod,Chlorite tripod,Cypriot,Late Cypriot II--III,ca. 1450--1050 B.C.,-1450,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/243935
24.195.179,251745,"Wreaths, 6",Lead wreath of lotus buds,"Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251745
26.255.1,252885,Vase,Terracotta vase in the form of a seated silen,"Greek, Attic",Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/252885
57.12.15,254953,"Kylix, eye-cup","Kylix, eye-cup","Greek, Attic",Classical,ca. 480 B.C.,-480,-480,Greece,http://www.metmuseum.org/art/collection/search/254953
00.13.5,246906,Shovel,Bronze batillum (incense shovel),Roman,Mid-Imperial,late 1st--early 2nd century A.D.,75,125,Italy,http://www.metmuseum.org/art/collection/search/246906
86.11.544,322098,Cuneiform tablet,Cuneiform tablet: unidentified balag,Seleucid or Parthian,Seleucid or Parthian,ca. 2nd--1st century B.C.,-200,-1,Mesopotamia,http://www.metmuseum.org/art/collection/search/322098
54.11.2,254798,Hydria with protome of a woman,Bronze hydria (water jar),Greek,Late Archaic,ca. 500--480 B.C.,-500,-480,Greece,http://www.metmuseum.org/art/collection/search/254798
17.194.723,249956,Head pendant,Glass head pendant,Phoenician,Classical,mid-5th--4th century B.C.,-450,-300,Levant,http://www.metmuseum.org/art/collection/search/249956
07.232.191,247818,Vase fragment,Terracotta rim fragment with running spiral,Minoan,Early Minoan III,ca. 2300--2100 B.C.,-2300,-2100,Crete,http://www.metmuseum.org/art/collection/search/247818
41.162.132,254304,Lekythos,Lekythos,"Greek, Attic",Classical,ca. 440 B.C.,-440,-440,Greece,http://www.metmuseum.org/art/collection/search/254304
21.88.19,251045,Ring,Gold ring,Greek,Classical,end of the 5th century B.C.,-425,-400,Greece,http://www.metmuseum.org/art/collection/search/251045
56.171.5,254863,Panathenaic prize amphora,Terracotta Panathenaic prize amphora (jar),"Greek, Attic",Archaic,ca. 530 B.C.,-530,-530,Greece,http://www.metmuseum.org/art/collection/search/254863
74.51.3465,242900,Earring with head of antelope,Gold earring with head of an antelope,Greek,Classical or Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/242900
30.118.14,253149,Jug,Jug,"Greek, Attic",Geometric,8th century B.C.,-799,-700,Greece,http://www.metmuseum.org/art/collection/search/253149
59.11.16,255010,Bust of Amazon,Bronze bust of an Amazon,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/255010
74.51.2802,242353,Head of an elderly man,Limestone head of a beardless male votary,Cypriot,Late Hellenistic,1st century B.C.,-99,-1,Cyprus,http://www.metmuseum.org/art/collection/search/242353
56.171.1,254859,Amphora,Terracotta amphora (jar),"Greek, Chalcidian",Archaic,ca. 540 B.C.,-540,-540,Greece,http://www.metmuseum.org/art/collection/search/254859
81.6.293,245136,"Intaglio, magical",Jasper intaglio: Harcoprates seated on a lotus flower,Roman,Imperial,ca. 2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/245136
49.69.5,254628,Relief tondo with portrait of a family,Marble funerary relief,Roman,Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/254628
86.11.145,321724,Cuneiform tablet,"Cuneiform tablet: slave sale, Egibi archive",Babylonian,Neo-Babylonian,ca. 547 BC,-547,-547,Mesopotamia,http://www.metmuseum.org/art/collection/search/321724
29.175.2,253040,Cameo of a seated woman with attendants,Sardonyx cameo of a goddess flanked by attendants,Greek or Roman,Hellenistic or Early Imperial,1st century B.C.--1st century A.D.,-99,99,Greece,http://www.metmuseum.org/art/collection/search/253040
41.162.173,254344,Mastoid,Terracotta mastoid (drinking cup with narrow base),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/254344
17.230.45,250578,"Antefix, head of Medusa","Antefix, head of Medusa",West Greek,Archaic,6th century B.C.,-599,-500,Italy,http://www.metmuseum.org/art/collection/search/250578
86.11.360,321984,Cuneiform tablet,Cuneiform tablet: unidentified balag,Seleucid or Parthian,Seleucid or Parthian,ca. 2nd--1st century B.C.,-200,-1,Mesopotamia,http://www.metmuseum.org/art/collection/search/321984
74.51.1642,241197,Statue of a man playing flute,Standing male flute player with a serpent around his shoulders,Cypriot,Cypro-Archaic I,ca. 750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/241197
24.195.54,251620,Statuette of Athena-5,"Lead figure of a goddess with spear and aegis, possibly Athena","Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251620
53.11.6,254779,Stirrup jar with octopus,Terracotta stirrup jar with octopus,"Helladic, Mycenaean",Late Helladic IIIC,ca. 1200--1100 B.C.,-1200,-1100,Greece,http://www.metmuseum.org/art/collection/search/254779
"25.78.118a, b",251898,Pyxis with lid,Glass pyxis (box with lid),Roman,"Early Imperial, Augustan or Julio-Claudian",late 1st century B.C.--mid-1st century A.D.,-25,50,Italy,http://www.metmuseum.org/art/collection/search/251898
41.160.184,323752,Cuneiform inscription,Ur-Namma cadastre,Neo-Sumerian,Ur III,ca. 2112--2095 B.C.,-2112,-2095,Mesopotamia,http://www.metmuseum.org/art/collection/search/323752
74.51.2875,242425,Relief of a man between two lions,Limestone votive relief with a master of lions,Cypriot,Archaic,2nd half of the 6th century B.C.,-550,-501,Cyprus,http://www.metmuseum.org/art/collection/search/242425
07.232.6,247623,Knife blade,Bronze spatulate knife,Minoan,Late Minoan I,ca. 1600--1450 B.C.,-1600,-1450,Crete,http://www.metmuseum.org/art/collection/search/247623
14.30.1,248822,Stemmed dish,Terracotta stemmed dish,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/248822
17.230.132,250656,Torso of a boy,Marble statue of a boy,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/250656
